i,j,gwl,std_gwl,rl_elevati,nztm_x,nztm_y
149,827,2.38,0.15199,3.28999,1573448.0,5186634.999999999
149,853,2.268460666666667,2.203208643866849,3.631327333333334,1576052.4666666663,5186650.4
149,854,-0.755003333333334,2.137560875512996,3.52666,1576147.6666666667,5186647.500000001
150,497,123.277,3.90499,142.667,1540446.0,5186599.0
150,509,118.94,1.56799,137.19500000000002,1541616.0,5186582.0
150,782,8.753663333333334,1.011487683538532,10.856663333333332,1568966.0,5186581.666666666
150,789,8.383995000000002,1.425981525307797,9.389995,1569622.0,5186534.0
150,814,4.57999,0.093,4.82,1572198.0,5186538.999999999
150,828,2.8499925,1.313731525307798,3.2699925,1573546.5,5186576.75
150,853,2.481105555555556,2.285309378324973,3.963331111111112,1576048.111111111,5186531.888888889
150,854,2.253323333333333,1.728645367077063,3.44666,1576140.0000000002,5186572.333333333
151,757,15.23999,0.0,17.44,1566441.0,5186445.0
151,780,9.035,1.369731525307797,10.379995,1568715.0,5186461.5
151,785,7.989990000000002,1.362231525307798,9.68499,1569239.5,5186400.5
151,786,7.9667475,1.337484025307797,9.499995,1569354.5,5186475.25
151,787,7.782495000000002,1.358231525307797,9.56,1569483.0,5186478.5
151,791,7.279995000000002,1.406736525307798,8.874995000000002,1569882.5,5186449.5
151,819,3.74,0.09,4.74999,1572648.0,5186436.0
151,825,3.25999,0.24999,4.03,1573248.0,5186436.0
151,854,2.218568571428572,2.186691186241938,3.544280000000001,1576157.1428571427,5186460.571428572
151,856,2.170663333333334,0.938154350205198,3.133323333333334,1576307.3333333333,5186484.666666666
152,513,114.88899,1.679,134.45599,1542072.0,5186360.0
152,745,19.40999,0.428,22.860000000000003,1565201.0,5186385.0
152,853,2.291996,2.044578440492476,4.011996,1576018.0,5186338.4
152,854,2.352284285714286,1.82362075043971,3.628567142857143,1576148.4285714284,5186354.2857142845
152,857,2.1544975,2.216663919288645,3.56824375,1576437.8750000002,5186329.125
153,727,23.53,0.66399,28.20999,1563402.0,5186285.0
153,756,15.221425714285717,2.160405471956224,18.199994285714286,1566358.1428571427,5186245.0
153,757,15.340000000000002,0.277,17.540000000000003,1566461.0,5186245.0
153,781,8.167490000000003,1.397231525307797,9.6,1568877.0,5186224.000000001
153,846,1.669995,1.358231525307797,3.155,1575362.0,5186218.5
153,848,2.279993333333333,1.74698203374373,3.13333,1575571.0,5186265.666666666
153,852,2.3387425,1.929604787961696,3.7399975,1575941.75,5186246.5
153,854,1.09749875,2.218537669288645,3.68374625,1576133.625,5186260.0
153,855,2.155551111111111,2.250974933880529,3.575551111111112,1576247.111111111,5186260.888888889
154,280,213.761,3.31599,225.44099,1518716.0000000002,5186184.0
154,768,13.39,0.18799,14.14,1567554.0,5186148.0
154,771,12.807135714285716,2.185834043384796,13.43857,1567834.2857142857,5186129.2857142845
154,844,2.386282857142857,2.176262614813367,3.697134285714286,1575136.7142857143,5186133.428571428
154,848,2.13237125,1.923104787961696,3.73749625,1575553.75,5186152.499999999
154,850,1.69,0.16099,3.27999,1575747.9999999995,5186100.0
154,853,2.346661666666667,2.128559208846329,3.609996666666667,1576067.5,5186135.666666666
154,855,2.243328888888889,2.253308267213862,3.257772222222223,1576224.111111111,5186141.666666666
154,857,2.2796625,2.323099463064295,3.722161666666667,1576448.1666666667,5186164.083333334
155,289,215.19,4.36199,218.455,1519616.0,5186084.0
155,738,20.57999,0.467,25.590000000000003,1564501.0,5186085.0
155,772,12.196663333333332,0.989824350205198,13.41666,1567997.0,5186084.666666668
155,844,2.029993,2.282924745554036,3.408996000000001,1575150.3,5186055.2
155,848,1.653991428571429,2.183261186241938,3.862854285714286,1575547.7142857143,5186038.714285714
155,853,2.092540909090909,2.083295223230941,3.36636,1576052.4545454544,5186039.727272728
156,597,77.94699,0.59899,91.44699,1550409.0,5185930.999999999
156,735,21.04999,0.64899,26.38999,1564256.0,5185957.0
156,781,8.354995000000002,1.462736525307797,9.729995,1568860.5,5185982.5
156,842,2.21799,1.727978700410397,3.695,1574966.5,5185957.666666666
156,843,2.241104444444444,2.256419378324973,3.63444,1575038.7777777775,5185951.333333333
156,845,1.79883,1.720313700410397,3.168331666666667,1575263.5,5185950.0
156,846,1.67315052631579,2.394763416372669,3.094206315789474,1575350.8421052631,5185941.7894736845
156,856,2.024993333333333,2.131060875512996,3.216663333333333,1576390.833333333,5185946.833333333
156,859,2.235495,2.327183629730962,3.525078333333333,1576655.75,5185954.666666666
157,735,20.165000000000003,0.57899,26.03,1564208.0,5185863.0
157,740,18.488000000000003,0.34299,22.930000000000003,1564736.0,5185856.0
157,755,16.118994,2.063978440492476,18.053994,1566244.1999999995,5185846.0
157,756,16.161460666666667,2.212742643866849,17.667328,1566334.066666667,5185858.533333333
157,758,14.86749,1.416731525307797,16.349990000000002,1566524.0000000002,5185872.5
157,759,15.69999,0.30899,16.489990000000002,1566669.0,5185874.0
157,844,1.75833,2.151059208846329,2.693326666666667,1575162.0,5185879.666666666
157,848,1.625551111111111,2.253419378324973,3.001662777777778,1575568.6666666667,5185836.944444444
157,849,1.6024925,1.932602287961696,2.92749,1575616.5,5185830.0
157,856,2.12666,1.727648700410397,3.40333,1576352.0,5185807.666666666
157,858,2.036994545454545,2.088205223230941,3.267175454545455,1576567.0909090908,5185844.0
158,341,195.287,0.22699,215.44700000000003,1524894.0,5185793.0
158,754,16.84133,1.031817683538532,17.85999,1566127.6666666667,5185733.666666666
158,757,15.18833,1.771815367077063,16.706661666666665,1566427.8333333333,5185733.0
158,758,15.519995000000002,0.239995,16.239990000000002,1566546.0,5185792.0
158,779,9.729161666666668,2.140559208846329,10.789996666666667,1568669.5,5185724.166666666
158,845,1.53999,0.22499,3.00999,1575265.0,5185761.0
158,851,1.58499,1.386731525307797,3.534990000000001,1575886.0,5185787.5
158,854,1.7124925,1.939852287961696,3.1074925,1576145.25,5185767.5
158,858,1.947780714285714,2.351938547000195,2.843495,1576541.2857142854,5185762.5
159,530,113.08799,3.012,125.318,1543709.0,5185685.000000001
159,752,16.90249,1.410236525307797,18.109990000000003,1565984.0,5185691.0
159,753,16.94499,0.33,17.94,1566007.0,5185679.999999999
159,757,16.49999,0.30099,16.99999,1566451.0,5185605.0
159,758,15.760000000000002,0.37299,16.51,1566598.0,5185691.0
159,847,0.74,0.092,2.36999,1575500.0000000002,5185608.0
159,848,1.169995,1.336231525307797,2.544995,1575503.0,5185649.5
159,857,1.880259333333333,2.203408643866849,2.917326666666667,1576436.7333333332,5185666.4
159,858,1.752629090909091,2.310610955105086,2.937631818181819,1576552.2727272725,5185645.454545455
159,859,1.560579166666667,2.321932796397629,3.103326666666667,1576660.6666666667,5185635.583333333
